project,activity,match_count
Gasum Loiste,Meeting,0.027
Ene vision,Development,0.0
Ene vision,Optimax Engineering,0.0
Ene vision,Project meetings,0.0
Ene vision,Simulation,0.0
Ene vision,Documentation (FDS),0.0
Ene vision,Testing & Handover,0.0
Optimax - ECOPETROL REFICAR Refinery Colombia,System installation,0.0
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Optimax - demo,0.0
Optimax - ECOPETROL REFICAR Refinery Colombia,Testing & Handover,0.0
Shell ETCA EMS Optimax,Installation,0.0
Denmark Optimax Support,Engineering,0.0
Finland Optimax Support 2024,Engineering,0.0
Shell ETCA EMS Optimax,Engineering,0.0
Energy Efficiency module GTB EMS Optimax,Engineering,0.0
NUS Umea Sweden,Engineering,0.0
Gasum Loiste,Engineering,0.0
Gasum Loiste,Installation,0.0
Senatobia Extension OPTIMAX,Engineering,0.0
Camp del Din,Documentation,0.0
Camp del Din,Int. Communication,0.0
P2X Solutions project - Optimax support,Engineering,0.0
