Project Name;Project Description;Project Definition;Activity Description;Activity Name;Posted time (h);Comment
2WAA064049;ADNOC OPTIMAX Pilot;Engineering;Change - Reworking the model;14;6;Reworking the current flow chart
2WAA064049;ADNOC OPTIMAX Pilot;Engineering;Change - Reworking the model;14;4;Flow Chart finalization.
2WAA064049;ADNOC OPTIMAX Pilot;Engineering;Change - Reworking the model;14;1;Coop /w Robert: upload of the flow chart and resizing
2WAA064049;ADNOC OPTIMAX Pilot;Engineering;Change - Reworking the model;14;1;Check up on the flow chart links and DB
2WAA064049;ADNOC OPTIMAX Pilot;Engineering;Change - Reworking the model;14;2;Check of the task list - reviewing completed work regarding dashboards
2WAA064049;ADNOC OPTIMAX Pilot;Engineering;Change - Reworking the model;14;1;Flow Chart Changes
2WAA064049;ADNOC OPTIMAX Pilot;Engineering;Change - Reworking the model;14;3;Flow Chart Changes
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Engineering;Optimax Engineering;2.1.2.05;3;Flow chart creation
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;Engineering;Optimax Engineering;2.1.2.05;2;Flow chart - linking DB + adding live status (ActPow)
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;COMMISSIONING;Testing & Handover;2.1.3.01;2;Internal sync
2WAA069020;Optimax - ECOPETROL REFICAR Refinery Colombia;COMMISSIONING;Testing & Handover;2.1.3.01;3;Report template creation
2WAA071877;DEABB Smart charging;Engineering;Development;2.1.2.01;4;BMW Handover
2WAA071877;DEABB Smart charging;Engineering;Development;2.1.2.01;1;Cascade study
2WAA071877;DEABB Smart charging;Engineering;Development;2.1.2.01;4;Diesldorf (BMW) outage of multiple chargers - troubleshooting and reporting
2WAA071877;DEABB Smart charging;Engineering;Development;2.1.2.01;2;Follow up to the BMW incident
2WAA071877;DEABB Smart charging;Engineering;Development;2.1.2.01;6;"Cooperation with Stefan Sommer
Cascade update/upload (BMW)"
2WAA071877;DEABB Smart charging;Engineering;Development;2.1.2.01;1;Colab w/ Ali - update on MEWA - they seem to drop us
2WAA071877;DEABB Smart charging;Engineering;Development;2.1.2.01;3;Cloud + UI deployment - Groupe E
2WAA071877;DEABB Smart charging;Engineering;Development;2.1.2.01;2;UI Site error (Glarnerland)
2WAA071877;DEABB Smart charging;Engineering;Development;2.1.2.01;1;UI Site error (Glarnerland) - requesting second pair of eyes to check the issue - root case not found
2WAA071877;DEABB Smart charging;Engineering;Development;2.1.2.01;2;UI resolution
2WAA071877;DEABB Smart charging;Engineering;Development;2.1.2.01;2;Lautzenhausen + Hamminkeln set up comparison
2WAA071877;DEABB Smart charging;Engineering;Development;2.1.2.01;2;TBA
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;"Troubleshooting w/ Yulin > faulty access to the HPP sizing tool
>>> fixed"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;DevOps Tasklist clean up
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;"DevOps rights issue, Repository request + Wiki
New task list prep."
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;HPP Spring Planning
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;Clean up + discussion w/ Georg
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;"H2 Berkheim
H2 Valleys RefTeam Meeting"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;HPP Sizing Tool Bi-Weekly Status Update meeting
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;"HPP walk-through of the comments and notes from Georg regarding the functionality and reported ""flaws"""
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Bi-Weekly Status Update + Vulnerability report
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Vulnerability report review + troubleshooting
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;"HPP Sizing Tool Development discussion + sync with all members
Team assemblement
Ahlen consultancy discussions + quotation change"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;Internal sync - Ahlen adjustment request
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;Teams/DevOps tasks
