Project Description,Project Definition,Activity Description,Comment
Ene vision,Engineering,Development,
Ene vision,Engineering,Documentation (FDS),
Ene vision,Engineering,Optimax Engineering,
Ene vision,Engineering,Optimax Engineering,Dashboards
Ene vision,Engineering,Optimax Engineering,Manual add of the missing input data
Ene vision,Project management,Project meetings,
Ene vision,Project management,Project meetings,Meeting with Jan Bitta to address needed changes
Ene vision,Engineering,Simulation,
Ene vision,Engineering,Simulation,Problem with NaN values in input from EneVision
Ene vision,Engineering,Testing & Handover,
Ene vision,Engineering,Testing & Handover,FAT day
Ene vision,Engineering,Testing & Handover,VPN
Ene vision,Engineering,Testing & Handover,Script for autodownloading data from JEPX
Ene vision,Engineering,Testing & Handover,Examination of the input and output files
Ene vision,Engineering,Testing & Handover,EneVision providing wrong data in the data
Ene vision,Engineering,Testing & Handover,SFTP server sending same data with wrong values
Ene vision,Engineering,Testing & Handover,"Dashboards, script replacement for output files"
Ene vision,Engineering,Testing & Handover,Script for archiving the old files implementation
Ene vision,Engineering,Testing & Handover,"Connectivity issues.
Correction Plan"
Ene vision,Engineering,Testing & Handover,Debugging Correction control plan
Ene vision,Engineering,Testing & Handover,Debugging of Correction control plan and meeting with Jan Bitta
Ene vision,Engineering,Testing & Handover,Correction plan testing
Ene vision,Engineering,Testing & Handover,Correction plan
Ene vision,Engineering,Testing & Handover,Possible implementation of Correction Plan to EneVision server
Ene vision,Engineering,Testing & Handover,Correction plan test
Ene vision,Engineering,Testing & Handover,Handover testing
Ene vision,Engineering,Testing & Handover,Preparing of the handover
Optimax - ECOPETROL REFICAR Refinery Colombia,Engineering,System installation,VPN installation
Optimax - ECOPETROL REFICAR Refinery Colombia,COMMISSIONING,Testing & Handover,Trying to install SiteEMS.
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,VM for DE ABB in Azure
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,"Helping Bernhard and Anton with OPX 6.4.0.
Finishing H2 P2X (NO ABB).
Fixing H2 Valleys (DE ABB)."
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,Setting up DEMO VMs for ITABB
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,optimaxdemo
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,Verification of every VM in DEABB Azure subscription for OS version and OPX version
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,OPX 640 VHD added to Azure
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,Setting up AADSSO for external user on HPP Sizing tool
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,HPP Sizing tool not working
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,Preparing 2024-07-19 OPX ks iso and uploading to Azure.
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,Adding VMs for ITABB demo
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,New VM for P2X
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,"OptimaxDemo fix, EUOPC VM malware fix"
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,New 6.4 VM VHD file preparation
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,opx-hynamics-upgrade VM
OPTIMAX APPS&MODELS CZ 2024 WP-12081.04,Engineering,Optimax - demo,Check VM after upgrade
Shell ETCA EMS Optimax,Engineering,Engineering,Shell - meeting ETCA Load Scheduler
Shell ETCA EMS Optimax,Engineering,Engineering,Shell meeting
Shell ETCA EMS Optimax,Engineering,Installation,Creation of VM and Installation of OPTIMAX
Shell ETCA EMS Optimax,Engineering,Installation,Node-red python installation
Shell ETCA EMS Optimax,Engineering,Installation,Installation of OPX 6.4 VM for Shell
Shell ETCA EMS Optimax,Engineering,Installation,Backup of the old VM and deploy to new VM
Shell ETCA EMS Optimax,Engineering,Installation,Configuring VM network
Denmark Optimax Support,Engineering,Engineering,Installation of the VM in Azure and adding the temp license. Modeler 1.22 installed.
